instanceId,iteration,projectId,dueDateDays,needsVolt,samples,completionDay,lateness
3_1_1,4,P48,56,false,5,70,14
3_1_1,4,P1,42,false,4,45,3
3_1_1,4,P2,46,false,3,55,9
3_1_1,4,P3,47,false,3,51,4
3_1_1,4,P4,44,false,3,55,11
3_1_1,4,P5,50,false,5,60,10
3_1_1,4,P6,53,true,4,65,12
3_1_1,4,P7,43,false,3,55,12
3_1_1,4,P8,48,false,5,45,0
3_1_1,4,P9,52,false,5,55,3
3_1_1,4,P50,57,false,5,75,18
3_1_1,4,P10,55,false,5,75,20
3_1_1,4,P12,50,false,6,55,5
3_1_1,4,P11,46,false,3,50,4
3_1_1,4,P14,45,true,4,45,0
3_1_1,4,P13,54,false,5,70,16
3_1_1,4,P16,53,false,5,65,12
3_1_1,4,P15,49,true,4,60,11
3_1_1,4,P18,46,false,3,50,4
3_1_1,4,P17,56,false,6,70,14
3_1_1,4,P19,51,true,4,65,14
3_1_2,3,P21,43,false,4,45,2
3_1_2,3,P20,56,true,5,75,19
3_1_2,3,P23,53,true,5,60,7
3_1_2,3,P22,47,true,5,45,0
3_1_2,3,P25,44,true,4,50,6
3_1_2,3,P24,57,false,4,70,13
3_1_2,3,P27,53,true,5,60,7
3_1_2,3,P26,48,false,6,55,7
3_1_2,3,P29,46,false,3,51,5
3_1_2,3,P28,55,false,4,70,15
3_1_2,3,P30,50,false,4,60,10
3_1_2,3,P32,56,false,4,70,14
3_1_2,3,P31,54,true,6,70,16
3_1_2,3,P34,46,false,3,55,9
3_1_2,3,P33,43,false,4,45,2
3_1_2,3,P36,56,false,5,70,14
3_1_2,3,P35,50,false,3,66,16
3_1_2,3,P38,49,false,3,70,21
3_1_2,3,P37,45,false,3,50,5
3_1_2,3,P39,52,false,4,55,3
3_1_2,3,P41,43,false,3,55,12
3_1_2,3,P40,57,false,6,75,18
3_1_2,3,P43,51,true,3,65,14
3_1_2,3,P42,47,false,4,45,0
3_1_2,3,P45,44,false,3,50,6
3_1_2,3,P44,55,true,5,75,20
3_1_2,3,P47,53,false,5,60,7
3_1_2,3,P46,48,false,5,55,7
3_1_2,3,P49,46,false,2,70,24
3_1_2,3,P48,56,true,3,80,24
3_1_2,3,P1,42,true,4,45,3
3_1_2,3,P2,46,true,4,50,4
3_1_2,3,P3,47,false,6,45,0
3_1_2,3,P4,44,false,3,55,11
3_1_2,3,P5,50,false,3,71,21
3_1_2,3,P6,53,true,6,61,8
3_1_2,3,P7,43,false,3,55,12
3_1_2,3,P8,48,true,3,65,17
3_1_2,3,P9,52,false,5,55,3
3_1_2,3,P50,57,false,5,75,18
3_1_2,3,P10,55,false,6,70,15
3_1_2,3,P12,50,false,3,70,20
3_1_2,3,P11,46,false,3,50,4
3_1_2,3,P14,45,true,4,45,0
3_1_2,3,P13,54,false,5,70,16
3_1_2,3,P16,53,false,5,65,12
3_1_2,3,P15,49,false,5,55,6
